प्रथमोऽध्याय,प्रथम+अध्याय
व्यथयन्त्येते,व्यथयन्ति+एते
उभयोरपि,उभय+अपि
तद्विद्धि,तत+विद्धि
विनाशमव्ययस्य,विनाशम+अव्ययस्य
अनाशिनोऽप्रमेयस्य,अनाशिन+अप्रमेयस्य
तस्माद्युध्यस्व,तस्मात+युध्यस्व
नायम,न+अयम
कङ्घातयति,कम+घातयति
नरोऽपराणि,नर+अपराणि
तथापि,तथा+अपि
अव्यक्तादीनि,अव्यक्त+आदीनि
अव्यक्तनिधनान्येव,अव्यक्तनिधनानि+एव
आश्चर्यवत्पश्यति,आश्चर्यवत+पश्यति
तथैव,तथा+एव
चान्य,च+अन्य
कश्चित,क+चित
तस्मात्सर्वाणि,तस्मात+सर्वाणि
स्वधर्ममपि,स्वधर्मम+अपि
चावेक्ष्य,च+अवेक्ष्य
विकम्पितुमर्हसि,विकम्पितुम+अर्हसि
धर्म्याद्धि,धर्म्यात+हि
यदृच्छया,यत+ऋच्छया
युद्धमीदृशम,युद्धम+ईदृशम
पापमवाप्स्यसि,पापम+अवाप्स्यसि
तेऽव्ययाम,ते+अव्ययाम
येषाञ्च,येषाम+च
अवाच्यवादांश्च,अवाच्यवादान+च
बहून्वदिष्यन्ति,बहून+वदिष्यन्ति
तवाहिता,तव+अहिता
निन्दन्तस्तव,निन्दन्त+तव
स्वर्गञ्जित्वा,स्वर्गम+जित्वा
तस्मादुत्तिष्ठ,तस्मात+उत्तिष्ठ
लाभालाभौ,लाभ+अलाभौ
जयाजयौ,जय+अजयौ
बुद्धिर्योगे,बुद्धि+योगे
व्यवसायात्मिका,व्यवसाय+आत्मिका
बुद्धयोऽव्यवसायिनाम,बुद्धय+अव्यवसायिनाम
कामात्मान,काम+आत्मान
यावानर्थ,यावान+अर्थ
तावान्सर्वेषु,तावान+सर्वेषु
धनञ्जय,धनम+जय
सिद्ध्यसिद्ध्यो,सिद्धि+असिद्ध्यो
निश्चला,नि+चला
समाधावचला,समाधौ+अचला
बुद्धिस्तदा,बुद्धि+तदा
योगमवाप्स्यसि,योगम+अवाप्स्यसि
किम्प्रभाषेत,किम+प्रभाषेत
किमासीत,किम+आसीत
मनोगतान,मनस+गतान
दुःखेष्वनुद्विग्नमना,दुःखेषु+अनुद्विग्नमना
शुभाशुभम,शुभ+अशुभम
नाभिनन्दति,न+अभिनन्दति
प्रतिष्ठिता,प्रति+स्थिता
निराहारस्य,नि+आहारस्य
परन्दृष्ट्वा,परम+दृष्ट्वा
मत्पर,मत+परः 
यस्येन्द्रियाणि,यस्य+इन्द्रियाणि
सङ्गात्सञ्जायते,सङ्गात+सञ्जायते
क्रोधाद्भवति,क्रोधात+भवति
सम्मोहात्स्मृतिविभ्रम,सम्मोहात+स्मृतिविभ्रम
रागद्वेषवियुक्तैस्तु,रागद्वेषवियुक्तै+तु
प्रसादमधिगच्छति,प्रसादम+अधिगच्छति
पर्यवतिष्ठते,परि+अवतिष्ठते
नास्ति,न+अस्ति
बुद्धिरयुक्तस्य,बुद्धि+अयुक्तस्य
चायुक्तस्य,च+अयुक्तस्य
चाभावयत,च+अभावयत
शान्तिरशान्तस्य,शान्ति+अशान्तस्य
तदस्य,तत+अस्य
तस्माद्यस्य,तस्मात+यस्य
यस्याञ्जाग्रति,यस्याम+जाग्रति
आपूर्यमाणमचलप्रतिष्ठम,आपूर्यमाणम+अचलप्रतिष्ठम
समुद्रमाप,समुद्रम+आप
यद्वत,यत+वत
यम्प्रविशन्ति,यम+प्रविशन्ति
कामान्य,कामान+य
पुमांश्चरति,पुमान+चरति
निस्स्पृह,नि+स्पृह
ब्रह्मनिर्वाणमृच्छति,ब्रह्मनिर्वाणम+ऋच्छति
श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण+अर्जुनसंवादे
तृतीयोऽध्याय,तृतीय+अध्याय
कर्मणस्ते,कर्मण+ते
व्यामिश्रेणेव,व्यामिश्रेण+इव
लोकेऽस्मिन,लोके+अस्मिन
मयानघ,मया+अनघ
सन्न्यसनादेव,सन्न्यसनात+एव
तिष्ठत्यकर्मकृत,तिष्ठति+अकर्मकृत
ह्यवश,हि+अवश
प्रकृतिजैर्गुणै,प्रकृतिजै+गुणै
कर्मेन्द्रियाणि,कर्म+इन्द्रियाणि
मिथ्याचार,मिथ्या+आचार
कर्मयोगमसक्त,कर्मयोगम+असक्त
नियतङ्कुरु,नियतम+कुरु
शरीरयात्रापि,शरीरयात्रा+अपि
प्रसिद्ध्येदकर्मण,प्रसिद्ध्येत+अकर्मण
समाचर,सम+आचर
पुरोवाच,पुरा+उवाच
प्रसविष्यध्वमेष,प्रसविष्यध्वम+एष
पचन्त्यात्मकारणात,पचन्ति+आत्मकारणात
अन्नाद्भवन्ति,अन्नात+भवन्ति
पर्जन्यादन्नसम्भव,पर्जन्यात+अन्नसम्भव
यज्ञाद्भवति,यज्ञात+भवति
कर्मसमुद्भव,कर्मसम+उद्भव
ब्रह्मोद्भवम,ब्रह्म+उद्भवम
प्रतिष्ठितम,प्रति+स्थितम
आत्मन्येव,आत्मनि+एव
सन्तुष्टस्तस्य,सन्तुष्ट+तस्य
कार्यन्न,कार्यम+न
नैव,न+एव
कश्चन,क+चन
चास्य,च+अस्य
तस्मादसक्त,तस्मात+असक्त
परमाप्नोति,परम+आप्नोति
कर्मणैव,कर्मणा+एव
जनकादय,जनक+आदय
पार्थास्ति,पार्थ+अस्ति
कर्तव्यन्त्रिषु,कर्तव्यम+त्रिषु
किञ्चन,किम+चन
कर्मण्यतन्द्रित,कर्मणि+अतन्द्रित
वर्त्मानुवर्तन्ते,वर्त्म+अनुवर्तन्ते
उत्सीदेयुरिमे,उत्सीदेयु+इमे
कुर्याङ्कर्म,कुर्याम+कर्म
चेदहम,चेत+अहम
जोषयेत्सर्वकर्माणि,जोषयेत+सर्वकर्माणि
विद्वान्युक्त,विद्वान+युक्त
समाचरन,सम+आचरन
अहङ्कारविमूढात्मा,अहङ्कारविमूढ+आत्मा
तत्त्ववित्तु,तत्त्वविद+तु
प्रकृतेर्गुणसम्मूढा,प्रकृते+गुणसम्मूढा
सन्न्यस्याध्यात्मचेतसा,सन्न्यस्य+अध्यात्मचेतसा
तेऽपि,ते+अपि
नष्टानचेतस,नष्टान+अचेतस
सदृशञ्चेष्टते,सदृशम+चेष्टते
किङ्करिष्यति,किम+करिष्यति
तयोर्न,तयो+न
ह्यस्य,हि+अस्य
बलादिव,बलात+इव
धूमेनाव्रियते,धूमेन+आव्रियते
दुष्पूरेणानलेन,दुष्पूरेण+अनलेन
भरतर्षभ,भरत+ऋषभ
पाप्मानम्प्रजहि,पाप्मानम+प्रजहि
ह्येनम,हि+एनम
मनसस्तु,मनस+तु
परतस्तु,परत+तु
कर्मयोगोनाम,कर्मयोग+नाम
चतुर्थोऽध्याय,चतुर्थ+अध्याय
विवस्वान्मनवे,विवस्वान+मनवे
तेऽद्य,ते+अद्य
चेति,च+इति
परञ्जन्म,परम+जन्म
चार्जुन,च+अर्जुन 
अजोऽपि,अज+अपि
सम्भवाम्यात्ममायया,सम्भवामि+आत्ममायया
ग्लानिर्भवति,ग्लानि+भवति
दुष्कृताम,दु+कृताम
धर्मसंस्थापनार्थाय,धर्मसंस्थापना+अर्थाय
नैति,न+एति
मामेति,माम+इति
सोऽर्जुन,स+अर्जुन
माम्प्रपद्यन्ते,माम+प्रपद्यन्ते
सिद्धिर्भवति,सिद्धि+भवति
चातुर्वर्ण्र्यम्मया,चातुर्वर्ण्र्यम+मया
सृष्टङ्गुणकर्मविभागश,सृष्टम+गुणकर्म विभागश
कर्तारमपि,कर्तारम+अपि
माङ्कर्माणि,माम+कर्माणि
कर्मभिर्न,कर्मभि+न 
एवञ्ज्ञात्वा,एवम+ज्ञात्वा
कृतङ्कर्म,कृतम+कर्म
पूर्वैरपि,पूर्वै+अपि
कर्मैव,कर्म+एव
तस्मात्त्वम,तस्मात+त्वम
पूर्वतरङ्कृतम,पूर्वतरम+कृतम
किङ्कर्म,किम+कर्म
तत्ते,तत+ते 
यज्ज्ञात्वा,यत+ज्ञात्वा
मोक्ष्यसेऽशुभात,मोक्ष्यसे+अशुभात
अकर्मणश्च,कर्मण+च
बोद्धव्यङ्गहना,बोद्धव्यम+गहना
कर्मण्यकर्म,कर्मणि+अकर्म
पश्येदकर्मणि,पश्येत+अकर्मणि
समारम्भा,सम+आरम्भा
कामसङ्कल्पवर्जिता,कामसम+कल्पवर्जिता
पण्डितम्बुधा,पण्डितम+बुधा
कुर्वन्नाप्नोति,कुर्वन+आप्नोति
सिद्धावसिद्धौ,सिद्धौ+असिद्धौ
कृत्वापि,कृत्वा+अपि
ज्ञानावस्थितचेतस,ज्ञान+अवस्थितचेतस
यज्ञायाचरत,यज्ञाय+आचरत
समग्रम्प्रविलीयते,समग्रम+प्रविलीयते
ब्रह्मैव,ब्रह्मा+एव
गन्तव्यंब्रह्मकर्मसमाधिना,गन्तव्यम+ब्रह्मकर्म समाधिना
संयमाग्निषु,संयम+अग्निषु 
इन्द्रियाग्निषु,इन्द्रिय+अग्निषु
सर्वाणीन्द्रियकर्माणि,सर्वाणि+इन्द्रियकर्माणि 
चापरे,च+अपरे
आत्मसंयमयोगाग्नौ,आत्मसंयमयोग+अग्नौ
प्राणापानगती,प्राण+अपानगती
नियताहारा,नियत+आहारा
प्राणान्प्राणेषु,प्राणान+प्राणेषु
कुतोऽन्य,कुत+अन्यः 
कर्मजान्विद्धि,कर्मजान+विद्धि
भूतान्यशेषेण,भूतानि+अशेषेण
चेदसि,चेत+असि
यथैधांसि,यथा+एधांसि
ज्ञानाग्नि,ज्ञान+अग्नि
भस्मसात्कुरुते,भस्मसात+कुरुते
कालेनात्मनि,कालेन+आत्मनि
श्रद्धावाँल्लभते,श्रद्धावान+लभते
ज्ञानन्तत्पर,ज्ञानम+तत्पर
संयतेन्द्रिय,संयत+इन्द्रिय
संशयात्मा,संशय+आत्मा
आत्मवन्तन्न,आत्मवन्तम+न
पञ्चमोऽध्याय,पञ्चम+अध्याय
कर्मयोगश्च,कर्मयोग+च 
तयोस्तु,तयो+तु
पृथग्बाला,पृथक+बाला
यत्सांख्यै,यत+सांख्यै
योगञ्च,योगम+च
चिरेणाधिगच्छति,चिरेण+अधिगच्छति
विजितात्मा,विजित+आत्मा
जितेन्द्रिय,जित+इन्द्रियः 
कुर्वन्नपि,कुर्वन+अपि
ब्रह्मण्याधाय,ब्रह्मणि+आधाय
सङ्गन्त्यक्त्वा,सङ्गम+त्यक्त्वा
कर्मफलन्त्यक्त्वा,कर्मफलम+त्यक्त्वा
शान्तिमाप्नोति,शान्तिम+आप्नोति
कुर्वन्न,कुर्वन+न 
कर्तृत्वन्न,कर्तृत्वम+न
नादत्ते,न+आदत्ते
तदज्ञानम,तत+अज्ञानम
तत्परम,तत+परम
इहैव,इह+एव
तैर्जित,तै+जित
स्थितम्मन,स्थितम+मन
समम्ब्रह्म,समम+ब्रह्म
तस्माद्ब्रह्मणि,तस्मात+ब्रह्मणि
चाप्रियम,च+अप्रियम् 
विन्दत्यात्मनि,विन्दति+आत्मनि
यत्सुखम,यत+सुखम
आद्यन्तवन्त,आदि+अन्तवन्त
ब्रह्मनिर्वाणमृषय,ब्रह्मनिर्वाणम+ऋषय
विदितात्मनाम,विदित+आत्मनाम
स्पर्शान्कृत्वा,स्पर्शान+कृत्वा
प्राणापानौ,प्राण+अपानौ
नासाभ्यन्तरचारिणौ,नासाभि+अन्तरचारिणौ 
षष्ठोsध्याय,षष्ठ+अध्याय
अनाश्रित,अन+आश्रितः 
चाक्रिय,च+अक्रिय
कारणमुच्यते,कारणम+उच्यते
योगारूढस्य,योग+आरूढस्य
तस्यैव,तस्य+एव
कर्मस्वनुषज्जते,कर्मसु+अनुषज्जते
आत्मैव,आत्मा+एव
रिपुरात्मन,रिपु+आत्मन
जितात्मन,जित+आत्मन
परमात्मा,परम+आत्मा
समाहित,सम+आहित
मानापमानयो,मान+अपमानयो
साधुष्वपि,साधुषु+अपि
समबुद्धिर्विशिष्यते,समबुद्धि+विशिष्यते
यतचित्तात्मा,यतचित्त+आत्मा
यतचित्तेन्द्रियक्रिय,यतचित्त+इन्द्रियक्रियः 
उपविश्यासने,उपविश्य+आसने
प्रशान्तात्मा,प्रशान्त+आत्मा
विगतभीर्ब्रह्मचारिव्रते,विगतभी+ब्रह्मचारिव्रते
योगोsस्ति,योग+अस्ति
चातिस्वप्नशीलस्य,च+अतिस्वप्नशीलस्य
युक्ताहारविहारस्य,युक्त+आहारविहारस्य
निःस्पृह,नि+स्पृह
इत्युच्यते,इति+उच्यते
सोपमा,स+उपमा
यत्रोपरमते,यत्र+उपरमते
गुरुणापि,गुरुणा+अपि 
सर्वानशेषत,सर्वान+अशेषत
समन्तत,समम+ततः 
आत्मसंस्थम्मन,आत्मसंस्थम+मन
उपैति,उप+एति
चात्मनि,च+आत्मनि
योगयुक्तात्मा,योगयुक्त+आत्मा
सर्वञ्च,सर्वम+च
वर्तमानोsपि,वर्तमान+अपि
आत्मौपम्येन,आत्मा+औपम्येन
समम्पश्यति,समम+पश्यति 
प्रोक्त,प्र+उक्त
बलवद्दृढम,बलवत+दृढम् 
वायोरिव,वायो+इव
असंयतात्मना,असंयतात+आत्मना
वश्यात्मना,वश्यात+आत्मना
एतन्मे,एतत+मे
संशयङ्कृष्ण,संशयम+कृष्ण
त्वदन्य,त्वत+अन्य
संशयस्यास्य,संशयस्य+अस्य
ह्युपपद्यते,हि+उपपद्यते
नामुत्र,न+अमुत्र
विनाशस्तस्य,विनाश+तस्य
योगभ्रष्टोsभिजायते,योगभ्रष्ट+अभिजायते
योगिनामेव,योगिनाम+एव
एतद्धि,एतद+हि
यदीदृशम,यत+ईदृशम
पूर्वाभ्यासेन,पूर्व+अभ्यासेन
तेनैव,तेन+एव
जिज्ञासुरपि,जिज्ञासु+अपि
शब्दब्रह्मातिवर्तते,शब्दब्रह्म+अतिवर्तते
पराङ्गतिम,पराम+गतिम
ज्ञानिभ्योsपि,ज्ञानिभ्य+अपि
मतोsधिक,मत+अधिकः 
तस्माद्योगी,तस्मात+योगी
भवाअर्जुन,भव+अर्जुन
योगिनामपि,योगिनाम+अपि 
श्रद्धावान्भजते,श्रद्धावान+भजते
ध्यानयोगोनाम,ध्यानयोग+नाम
सप्तमोsध्याय,सप्तम+अध्याय
मय्यासक्तमना,मयि+आसक्तमना
तच्छृणु,तत+श्रृणु
नेह,न+इह
यततामपि,यतताम+अपि
प्रकृतिरष्टधा,प्रकृति+अष्टधा
एतद्योनीनि,एतत+योनीनि
प्रलयस्तथा,प्रलय+तथा
प्रभास्मि,प्रभा+अस्मि
पौरुषन्नृषु,पौरुषम+नृषु
पृथिव्यञ्च,पृथिव्याम+च
कामोsस्मि,काम+अस्मि
एवेति,एव+इति
तान्विद्धि,तान+विद्धि
मामेव,माम+एव
नराधमा,नर+अधमा
माययापहृतज्ञाना,मायया+अपहृतज्ञाना 
सुकृतिनोsर्जुन,सुकृतिन+अर्जुन 
एकभक्तिर्विशिष्यते,एकभक्ति+विशिष्यते 
युक्तात्मा,युक्त+आत्मा
सर्वमिति,सर्वम+इति
प्रपद्यन्तेन्यदेवता,प्रपद्यन्ते+अन्यदेवताः 
विदधाम्यहम,विदधामि+अहम
मयैव,मया+एव
विहितान्हि,विहितान+हि
अन्तवत्तु,अन्तवत+तु
मामपि,माम+अपि
मामबुद्धय,माम+अबुद्धय
योगमायासमावृत,योगमायासम+आवृतः 
इच्छाद्वेषसमुत्थेन,इच्छाद्वेषसम+उत्थेन
मामाश्रित्य,माम+आश्रित्य
तद्विदु,तत+विदु
चाखिलम,च+अखिलम
प्रयाणकालेsपि,प्रयाणकाले+अपि
विदुर्युक्तचेतस,विदु+युक्तचेतस
ज्ञानविज्ञानयोगोनाम,ज्ञानविज्ञानयोग+नाम
अष्टमोsध्याय,अष्टम+अध्याय
पुरुषोत्तम,पुरुष+उत्तम 
अधिभूतञ्च,अधिभूतम+च
नियतात्मभि,नियत+आत्मभि
अक्षरम्ब्रह्म,अक्षरम+ब्रह्म
तद्भावभावित,तत+भावभावित
तस्मात्सर्वेषु,तस्मात+सर्वेषु
मामनुस्मर,माम+अनुस्मर
नान्यगामिना,न+अन्यगामिना
पार्थानुचिन्तयन,पार्थ+अनुचिन्तयन
परस्तात,पर+तात
भ्रुवोर्मध्ये,भ्रुवो+मध्ये
प्राणमावेश्य,प्राणम+आवेश्य
परमाङ्गतिम,परमाम+गतिम् 
मामुपेत्य,माम+उपेत्य
पुनर्जन्म,पुन+जन्म
नाप्नुवन्ति,न+आप्नुवन्ति
महात्मान,महा+आत्मान
आब्रह्मभुवनाल्लोका,आब्रह्मभुवनात+लोका
अव्यक्ताद्व्यक्तय,अव्यक्तात+व्यक्तयः 
रात्र्यागमे,रात्रि+आगमे
तद्धाम,तत+धाम
परमम्मम,परमम+मम
षण्मासा,षट+मासा
उत्तरायणम,उत्तर+अयनम
दक्षिणायनम,दक्षिण+अयनम
ह्येते,हि+एते
नैते,न+एते 
जानन्योगी,जानन+योगी
अत्येति,अति+एति
चाद्यम,च+अद्यम
अक्षरपरब्रह्मयोगोनाम,अक्षरपरब्रह्मयोग+नाम
नवमोsध्याय,नवम+अध्याय
मोक्ष्यसेsशुभात,मोक्ष्यसे+अशुभात
योगमैश्वरम,योगम+ऐश्वरम् 
भूतभृन्न,भूतभृत+न
पुनस्तानि,पुन+तानि
कल्पादौ,कल्प+आदौ
विसृजाम्यहम,विसृजामि+अहम
भूतग्राममिमम,भूतग्रामम+इमम
सचराचरम,चर+अचरम
हेतुनानेन,हेतुना+अनेन
जगद्विपरिवर्तते,जगत+विपरिवर्तते
भूतमहेश्वरम,भूतमहा+ईश्वरम
नमस्यन्तश्च,नमस्यन्त+च
विश्वतोमुखम,विश्वत+मुखम
गतिर्भर्ता,गति+भर्ता
मृत्युश्च,मृत्यु+च 
यज्ञैरिष्ट्वा,यज्ञै+इष्ट्वा
पुण्यमासाद्य,पुण्यम+आसाद्य
सुरेन्द्रलोकम,सुर+इन्द्रलोकम
दिव्यान्दिवि,दिव्यान+दिवि
पर्युपासते,परि+उपासते
श्रद्धयान्विता,श्रद्धया+अन्विताः 
तेsपि,ते+अपि
यजन्त्यविधिपूर्वकम,यजन्ति+अविधिपूर्वकम
प्रभुरेव,प्रभु+एव
मामभिजानन्ति,माम+अभिजानन्ति
तत्त्वेनातश्च्यवन्ति,तत्त्वेन+अतश्च्यवन्ति 
भूतेज्या,भूत+इज्या
प्रयतात्मन,प्रयत+आत्मन
यत्करोषि,यत+करोषि
यदश्नासि,यत+अश्नासि
यज्जुहोषि,यत+जुहोषि
यत्तपस्यसि,यत+तपस्यसि
तत्कुरुष्व,तत+कुरुष्व
मदर्पणम,मत+अर्पणम
द्वेष्योsस्ति,द्वेष्य+अस्ति
मामनन्यभाक,माम+अन्अन्यभाक
साधुरेव,साधु+एव 
धर्मात्मा,धर्म+आत्मा
येsपि,ये+अपि
मन्मना,मत+मना
युक्त्वैवम,युक्त्वा+एवम
राजविद्याराजगुह्ययोगोनाम,राजविद्याराजगुह्ययोग+नाम
वृद्धिरादैच,वृद्धि+आदैच
मुखनासिकावचनोऽनुनासिक,मुखनासिकावचन+अनुनासिक
नाज्झलौ,न+अज्झलौ
आद्यन्तवदेकस्मिन,आद्यन्तवत+एकस्मिन
प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमा+च
स्वमज्ञातिधनाख्यायाम,स्वम+अज्ञातिधनाख्यायाम
स्वरादिनिपातमव्ययम,स्वरादिनिपातम+अव्ययम
कृन्मेजन्त,कृत+मेजन्त
अव्ययीभावश्च,अव्ययीभाव+च
सुडनपुंसकस्य,सुट+अनपुंसकस्य
स्थानेऽन्तरतम,स्थाने+अन्तरतम
अलोऽन्त्यस्य,अल+अन्त्यस्य
ङिच्च,ङित+च
द्विर्वचनेऽचि,द्विर्वचने+अचि
तपरस्तत्कालस्य,तपर+तत्कालस्य
विभाषोर्णो,विभाषा+ऊर्णो
सार्वधातुकमपित,सार्वधातुकम+अपित
हलन्ताच्च,हलन्तात+च
उश्च,उ+च
विभाषोपयमने,विभाषा+उपयमने
मृषस्तितिक्षायाम,मृष+तितिक्षायाम
वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृत+च
अचश्च,अच+च
उच्चैरुदात्त,उच्चै+उदात्त
नीचैरनुदात्त,नीचै+अनुदात्त
यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणि+अयजपन्यूङ्खसामसु
देवब्रह्मणोरनुदात्त,देवब्रह्मणो+अनुदात्त
कृत्तद्धितसमासाश्च,कृत्तद्धितसमासा+च
गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियो+उपसर्जनस्य
इद्गोण्या,इत+गोण्या
लुब्योगाप्रख्यानात,लुप+योगाप्रख्यानात
विशाखयोश्च,विशाखयो+च
आदिर्ञिटुडव,आदि+ञिटुडव
लशक्वतद्धिते,लशकु+अतद्धिते
स्वरितेनाधिकार,स्वरितेन+अधिकार
इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात+च
नेर्विश,ने+विश
प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययो+च
उदोऽनूर्द्ध्वकर्मणि,उद+अनूर्ध्वकर्मणि
उपान्मन्त्रकरणे,उपात+मन्त्रकरणे
अकर्मकाच्च,अकर्मकात+च
स्पर्द्धायामाङ,स्पर्द्धायाम+आङ
अनुपसर्गाद्वा,अनुपसर्गात+वा
सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम+अनाध्याने
अनोरकर्मकात,अनो+अकर्मकात
अवाद्ग्र,अवात+ग्र
समस्तृतीयायुक्तात,सम+तृतीयायुक्तात
भुजोऽनवने,भुज+अनवने
भीस्म्योर्हेतुभये,भीस्म्यो+हेतुभये
अपाद्वद,अपात+वद
णिचश्च,णिच+च
अनुपसर्गाज्ज्ञ,अनुपसर्गात+ज्ञ
प्राद्वह,प्रात+वह
परेर्मृष,परे+मृष
उपाच्च,उपात+च
विभाषाऽकर्मकात,विभाषा+अकर्मकात
निगरणचलनार्थेभ्य,निगरणचलनार्थेभ्य+च
वाऽऽमि,वा+आमि
स्वादिष्वसर्वनामस्थाने,स्वादिषु+असर्वनमस्थाने
पराजेरसोढ,पराजे+असोढ
आख्यातोपयोगे,आख्याता+उपयोगे
धारेरुत्तमर्ण,धारे+उत्तमर्ण
स्पृहेरीप्सित,स्पृहे+ईप्सित
अनुप्रतिगृणश्च,अनुप्रतिगृण+च
आधारोऽधिकरणम,आधार+अधिकरणम
अभिनिविशश्च,अभिनिविश+च
हृक्रोरन्यतरस्याम,हृक्रो+अन्यतरस्याम
चादयोऽसत्त्वे,चादय+असत्त्वे
गतिश्च,गति+च
ऊर्यादिच्विडाचश्च,ऊर्यादिच्विडाच+च
भूषणेऽलम,भूषणे+अलम
अन्तरपरिग्रहे,अन्त+अपरिग्रहे
पुरोऽव्ययम,पुर+अव्ययम
अदोऽनुपदेशे,अद+अनुपदेशे
तिरोऽन्तर्द्धौ,तिर+अन्तर्द्धौ
जीविकोपनिषदावौपम्ये,जीविकोपनिषदौ+औपम्ये
व्यवहिताश्च,व्यवहिता+च
अनुर्लक्षणे,अनु+लक्षणे
अभिरभागे,अभि+अभागे
अधिरीश्वरे,अधि+ईश्वरे
तङानावात्मनेपदम,तङानौ+आत्मनेपदम
तान्येकवचनद्विवचनबहुवचनान्येकश,तानि+एकवचनद्विवचनबहुवचनान्येकश
विभक्तिश्च,विभक्ति+च
अस्मद्युत्तम,अस्मदि+उत्तम
विरामोऽवसानम,विराम+अवसानम
यथाऽसादृये,यथा+असादृये
यावदवधारणे,यावत+अवधारणे
अनुर्यत्समया,अनु+यत्समया
नदीभिश्च,नदीभि+च
द्विगुश्च,द्विगु+च
कृत्यैरधिकार्थवचने,कृत्यै+अधिकार्थवचने
अपेतापोढमुक्तपतितापत्रस्तैरल्पश,अपेतापोढमुक्तपतितापत्रस्तै+अल्पश
सिद्धशुष्कपक्वबन्धैश्च,सिद्धशुष्कपक्वबन्धै+च
