श्रीमद्भगवद्गीता,श्रीमत+भगवत+गीता
श्रोत्रादीनीन्द्रियाण्यन्ये,श्रोत्र+आदीनि+इन्द्रियाणि+अन्ये
शब्दादीन्विषयानन्य,शब्द+आदीन+विषयान+अन्य
स्वाध्यायज्ञानयज्ञाश्च,स्व+अध्यायज्ञानयज्ञा+च
प्राणायामपरायणा,प्राण+आयामपर+अयना
सर्वेप्येते,सर्वे+अपि+एते
तान्सर्वानेवञ्ज्ञात्वा,तान+सर्वान+एवम+ज्ञात्वा
श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञ,श्रेयान+द्रव्यमयात+यज्ञात+ज्ञानयज्ञ
सर्वङ्कर्माखिलम्पार्थ,सर्वम+कर्म+अखिलम+पार्थ
ज्ञानञ्ज्ञानिनस्तत्त्वदर्शिन,ज्ञानम+ज्ञानिन+तत्त्वदर्शिन
सर्वञ्ज्ञानप्लवेनैव,सर्वम+ज्ञानप्लवेन+एव
समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन,समिद्ध+अग्नि+भस्मसात+कुरुते+अर्जुन 
सदृशम्पवित्रमिह,सदृशम+पवित्रम+इह
अज्ञश्चाश्रद्धधानश्च,अज्ञ+च+अश्रद्दधान+च
योगसन्न्यस्तकर्माणञ्ज्ञानसञ्छिन्नसंशयम,योगसम+न्यस्तकर्माणम+ज्ञानसम+छिन्नसंशयम
ज्ञानकर्मसन्न्यासयोगोनाम,ज्ञानकर्मसम+न्यासयोग+नाम
पुनर्योगञ्च,पुन+योगम+च
निश्श्रेयसकरावुभौ,नि+श्रेयसकरौ+उभौ 
एकमप्यास्थित,एकम+अपि+आस्थित
सम्यगुभयोर्विन्दते,सम्यक+उभयो+विन्दते
स्थानन्तद्योगैरपि,स्थानम+तत+योगै+अपि
सन्न्यासस्तु,सम+न्यास+तु
सर्वभूतात्मभूतात्मा,सर्वभूत+आत्मभूत+आत्मा 
किञ्चित्करोमीति,किम+चित+करोमि+इति
पश्यन्श्रृण्वन्स्पृशन्जिघ्रनश्नन्गच्छन्स्वपन्श्वसन,पश्यन+श्रृण्वन+स्पृशन+जिघ्रन+अश्नन+गच्छन+स्वपन+श्वसन
प्रलपन्विसृजन्गृह्णनुन्मिषन्निमिषन्नपि,प्रलपन+विसृजन+गृह्णन+उन्मिषन+निमिषन+अपि
इन्द्रियाणीन्द्रियार्थेषु,इन्द्रियाणि+इन्द्रिय+अर्थेषु
पद्मपत्रमिवाम्भसा,पद्मपत्रम+इव+अम्भसा
केवलैरिन्द्रियैरपि,केवलै+इन्द्रियै+अपि 
सङ्गन्त्यक्त्वात्मशुद्धये,सङ्गम+त्यक्त्वा+आत्मशुद्धये 
सन्न्यस्यास्ते,सम+न्यस्य+आस्ते
येषान्नाशितमात्मन,येषाम+नाशितम+आत्मन
तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणा,तत+बुद्धय+तदा+आत्मान+तत+निष्ठा+तत+पर+अयना
प्रहृष्येत्प्रियम्प्राप्य,प्रहृष्येत+प्रियम+प्राप्य
नोद्विजेत्प्राप्य,न+उत+विजेत+प्राप्य
बाह्यस्पर्शेष्वसक्तात्मा,बाह्यस्पर्शेषु+असक्त+आत्मा
सुखमक्षयमश्नुते,सुखम+अक्षयम+अश्नुते
शक्नोतीहैव,शक्नोति+इह+एव
सोढुम्प्राक्शरीरविमोक्षणात,सोढुम+प्राक+शरीरविमोक्षणात
योन्तःसुखोऽन्तरारामस्तथान्तर्ज्योतिरेव,य+अन्त+सुख+अन्तराराम+तथा+अन्त+ज्योति+एव
ब्रह्मनिर्वाणम्ब्रह्मभूतोधिगच्छति,ब्रह्मनिर्वाणम+ब्रह्मभूत+अधिगच्छति
बहिर्बाह्यांश्चक्षुश्चैवान्तरे,बहि+बाह्यान+चक्षु+च+एव+अन्तरे
यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायण,यत+इन्द्रियमन+बुद्धि+मुनि+मोक्षपर+अयन
कर्मसन्न्यासयोगोनाम,कर्मसम+न्यासयोग+नाम
निरग्निर्न,नि+अग्नि+न 
आरुरुक्षोर्मुनेर्योगङ्कर्म,आरुरुक्षो+मुने+योग+कर्म
नेन्द्रियार्थेषु,न+इन्द्रिय+अर्थेषु
सर्वसङ्कल्पसन्न्यासी,सर्वसङ्कल्प+सम+न्यासी 
योगारूढस्तदोउच्यते,योग+आरूढ+तदा+उच्यते
बन्धुरात्मात्मनस्तस्य,बन्धु+आत्मा+आत्मन+तस्य
येनात्मैवात्मना,येन+आत्मा+एव+आत्मना
अनात्मनस्तु,अन+आत्मन+तु
वर्तेतात्मैव,वर्तेत+आत्मा+एव
शीतोष्णसुखदुःखेषु,शीत+उष्ण+सुखदुःखेषु
ज्ञानविज्ञानतृप्तात्मा,ज्ञानविज्ञान+तृप्त+आत्मा
समलोष्टाश्मकाञ्चन,समलोष्ट+अश्मकाम+चन
सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु,सुहृत+मित्र+अरि+उदासीन+मध्यस्थ+द्वेष्यबन्धुषु
निराशीरपरिग्रह,नि+आशी+अपरिग्रह
स्थिरमासनमात्मन,स्थिरम+आसन+आत्मनः 
युञ्ज्याद्योगमात्मविशुद्धये,युञ्ज्यात+योगम+आत्मविशुद्धये
शान्तिन्निर्वाणपरमाम्मत्संस्थामधिगच्छति,शान्तिम+निर्वाणपरमाम+मत+संस्थाम+अधिगच्छति
नात्यश्नतस्तु,न+अति+अश्नत+तु
चैकान्तमनश्नत,च+एक+अन्तम+अन+अश्नतः 
युक्तस्वप्नावबोधस्य,युक्त+स्वप्न+अवबोधस्य
विनियतञ्चित्तमात्मन्येवावतिष्ठते,विनियतम+चित्तम+आत्मनि+एव+अवतिष्ठते 
बुद्धिग्राह्यमतीन्द्रियम,बुद्धिग्राह्यम+अति+इन्द्रियम् 
चैवायम,च+एव+अयम
सङ्कल्पप्रभवान्कामांस्त्यक्त्वा,सम+कल्पप्रभवान+कामान+त्यक्त्वा 
शनैरुपरमेद्बुद्ध्या,शनै+उपरमेत+बुद्ध्या
किञ्चिदपि,किम+चित+अपि
मनश्चञ्चलमस्थिरम,मन+चञ्चलम+अस्थिरम् 
शान्तरजसम्ब्रह्मभूतमकल्मषम,शान्तरजसम+ब्रह्मभूतम+अकल्मषम् 
तस्याहन्न,तस्य+अहम+न
एतस्याहन्न,एतस्य+अहम+न
योगसंसिद्धिङ्काङ्गतिङ्कृष्ण,योगसंसिद्धिम+काम+गतिम+कृष्ण
कच्चिन्नोभयविभ्रष्टश्छिन्नाभ्रमिव,कत+चित+न+उभयविभ्रष्ट+छिन्न+अभ्रम+इव
छेत्तुमर्हस्यशेषत,छेत्तुम+अर्हसि+अशेषत
नैवैह,न+एव+इह
कल्याणकृत्कश्चिद्दुर्गतिन्तात,कल्याणकृत+क+चित+दु+गतिम+तात
ह्यवशोsपि,हि+अवश+अपि
प्रयत्नाद्यतमानस्तु,प्रयत्नात+यतमान+तु
सर्वेषाम्मद्गतेनान्तरात्मना,सर्वेषाम+मत+गतेन+अन्तर+आत्मना 
भूयोsन्यज्ज्ञातव्यमवशिष्यते,भूय+अन्यत+ज्ञातव्यम+अवशिष्यते
कश्चिद्यतति,क+चित+यतति
भूमिरापोsनलोवायु,भूमि+आप+अनल+वायुः 
सर्वाणीत्युपधारय,सर्वाणि+इति+उपधारय
रसोsहमप्सु,रस+अहम+अप्सु
तेजश्चास्मि,तेज+च+अस्मि 
तपश्चास्मि,तप+च+अस्मि
बुद्धिर्बुद्धिमतामस्मि,बुद्धि+बुद्धिमताम+अस्मि
तेजस्तेजस्विनामहम,तेज+तेजस्विनाम+अहम
त्रिभिर्गुणमयैर्भावैरेभि,त्रिभि+गुणमयै+भावै+एभिः 
त्वात्मैव,तु+आत्मा+एव
मामेवानुत्तमाङ्गतिम,माम+एव+अन+उत्तमाम+गतिम
कामैस्तैस्तैर्हृतज्ञाना,कामै+तै+तै+हृतज्ञानाः 
श्रद्धयार्चितुमिच्छति,श्रद्धया+अर्चितुम+इच्छति 
युक्तस्तस्याराधनमीहते,युक्त+तस्य+आराधनम+ईहते 
कथङ्कोsत्र,कथम+क+अत्र
देहेsस्मिन्मधुसूदन,देहे+अस्मिन+मधुसूदन 
कथञ्ज्ञेयोsसि,कथम+ज्ञेय+असि
पुरुषश्चाधिदैवतम,पुरुष+च+अधिदैवतम
अधियज्ञोहमेवात्र,अधियज्ञ+अहम+एव+अत्र
नास्त्यत्र,न+अस्ति+अत्र
स्मरन्भावन्त्यजत्यन्ते,स्मरन+भावम+त्यजति+अन्ते 
मय्यर्पितमनोबुद्धिर्मामेवैष्यस्यसंशय,मयि+अर्पितमन+बुद्धि+माम+एव+इष्यसि+असंशयः 
कविम्पुराणमनुशासितारमणोरणीयांसमनुस्मरेद्य,कविम+पुराणम+अनुशासितारम+अणो+अणीयान+सम्अनुस्मरेत+य
धातारमचिन्त्यरूपमादित्यवर्णन्तमस,धातारम+अचिन्त्यरूपम+आदित्यवर्णम+तमसः 
मूर्ध्न्याधायात्मन,मूर्ध्न्य+आधाय+आत्मन
ओमित्येकाक्षरम्ब्रह्म,ओम+इति+एक+अक्षरम+ब्रह्म
व्याहरन्मामनुस्मरन,व्याहरन+माम+अनुस्मरन
दुःखालयमशाश्वतम,दुःख+आलयम+अशाश्वतम् 
संसिद्धिम्परमाङ्गता,सम+सिद्धिम+परमाम+गता
पुनरावर्तिनोर्जुन,पुन+आवर्तिन+अर्जुन
मामुपेत्य,माम+उप+इत्य
प्रभवन्त्यहरागमे,प्रभवन्ति+अह+आगमे 
तत्रैवाव्यक्तसञ्ज्ञके,तत्र+एव+अव्यक्तसञ्ज्ञके
रात्र्यागमेsवश,रात्रि+आगमे+अवश
प्रभवत्यहरागमे,प्रभवति+अह+आगमे 
परस्तस्मात्तु,पर+तस्मात+तु
भावोsन्योव्यक्तोव्यक्तात्सनातन,भावो+अन्य+अव्यक्त+अव्यक्तात+सनातन
लभ्यस्त्वनन्यया,लभ्य+तु+अनन्यया
यस्यान्तःस्थानि,यस्य+अन्त+स्थानि
त्वनावृत्तिमावृत्तिञ्चैव,तु+अन+आवृत्तिम+आवृत्तिम+च+एव 
अग्निर्ज्योतिरह,अग्नि+ज्योति+अह
चान्द्रमसञ्ज्योतिर्योगी,चान्द्रमसम+ज्योति+योगी
यात्यनावृत्तिमन्ययावर्तते,याति+अन+आवृत्तिम+अन्यया+आवर्तते
यत्पुण्यफलम्प्रदिष्टम,यत+पुण्यफलम+प्रदिष्टम
मत्स्थानीत्युपधारय,मत+स्थानि+इति+उपधारय 
कृत्स्नमवसम्प्रकृतेर्वशात,कृत्स्नम+अवसम+प्रकृते+वशात
मयाध्यक्षेण,मया+अधि+अक्षेण
महात्मानस्तु,महा+आत्मान+तु 
भूतादिमव्ययम,भूत+आदिम+अव्ययम
चाप्यन्ये,च+अपि+अन्ये
स्वधाहमहमौषधम,स्वधा+अहम+अहम+औषधम् 
पिताहमस्य,पिता+अहम+अस्य
सदसच्चाहमर्जुन,सत+असत+च+अहम+अर्जुन 
मद्याजिनोsपि,मत+याजिन+अपि
संन्यासयोगयुक्तात्मा,सम+न्यासयोगयुक्त+आत्मा
चाप्यहम,च+अपि+अहम
व्यपाश्रित्य,वि+अप+आश्रित्य
शूद्रास्तेsपि,शूद्रा+ते+अपि
मामेवैष्यसि,माम+एव+ऐष्यसि
पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि+व्यवस्थायाम+असंज्ञायाम
तद्धितश्चासर्वविभक्ति,तद्धित+च+च+असर्वविभक्ति
मिदचोऽन्त्यात्पर,मित+अच+अन्त्यात+पर
स्थानिवदादेशोऽनल्विधौ,स्थानिवत+आदेश+अनल्विधौ
तस्मादित्युत्तरस्य,तस्मात+इति+उत्तरस्य
उदुपधाद्भावादिकर्मणोरन्यतरस्याम,उदुपधात+भावादिकर्मणो+अन्यतरस्याम
नोपधात्थफान्ताद्वा,नोपधात+थफान्तात+वा
ऊकालोऽज्झ्रस्वदीर्घप्लुत,ऊकाल+अच+ह्रस्वदीर्घप्लुत
प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात,प्रधानप्रत्ययार्थवचनम+अर्थस्य+अन्यप्रमाणत्वात
नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम,नपुंसकम+अनपुंसकेन+एकवत+च+अस्य+अन्यतरस्याम
हलन्त्यम,हल+अन्त्यम+अन्ते+दिगादित्वात+यत
क्रीडोऽनुसम्परिभ्यश्च,क्रीड+अनुसम्परिभ्य+च
नानोर्ज्ञ,न+अनो+ज्ञ
म्रियतेर्लुङ्‌लिङोश्च,म्रियते+लुङ्‌लिङो+च
अणावकर्मकाच्चित्तवत्कर्तृकात,अणौ+अकर्मकात+चित्तवत्कर्तृकात
नेयङुवङ्स्थानावस्त्री,न+इयङुवङ्स्थानौ+अस्त्री
ध्रुवमपायेऽपादानम,ध्रुवम+अपाये+अपादानम
प्राग्रीश्वरान्निपाता,प्राक+रीश्वरात+निपाता
पूर्वापराधरोत्तरमेकदेशिनैकाधिकरणे,पूर्वापराधरोत्तरम+एकदेशिना+एकाधिकरणे
अमैवाव्ययेन,अमा+एव+अव्ययेन
पृथग्विनानानाभिस्तृतीयाऽन्यतरस्याम्‌,पृथग्विनानानाभि+तृतीया+अन्यतरस्याम
इदमोऽन्वादेशेऽशनुदात्तस्तृतीयाऽऽदौ,इदम+अन्वादेशे+अश+अनुदात्त+तृतीयाऽऽदौ
अजेर्व्यघञपो,अजे+वी+अघञपो
उपकादिभ्योऽन्यतरस्यामद्वंद्वे,उपकादिभ्य+अन्यतरस्याम+अद्वन्द्वे
नाव्ययीभावादतोऽम्त्वपञ्चम्या,न+आव्ययीभावात+अत+अम+तु+अपञ्चम्या
अभ्युत्सादयांप्रजनयांचिकयांरमयामक,अभ्युत्सादयाम+प्रजनयाम+चिकयाम+रमयाम+अक+पावयांक्रियात+विदामक्रन+इति+छन्दसि
लिङ्याशिष्यङ,लिङि+आशिषि+अङ
तपस्तपःकर्मकस्यैव,तप+तपःकर्मकस्य+एव
वाऽसरूपोऽस्त्रियाम,वा+असरूप+अस्त्रियाम
गदमदचरयमश्चानुपसर्गे,गदमदचरयम+च+अनुपसर्गे
ऋदुपधाच्चाकॢपिचृते,ऋदुपधात+च+अकॢपिचृते
आतश्चोपसर्गे,आत+च+उपसर्गे
अनुपसर्गाल्लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यश्च,अनुपसर्गात+लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्य+च
हरतेरनुद्यमनेऽच,हरते+अनुद्यमने+अच
फलेग्रहिरात्मम्भरिश्च,फलेग्रहि+आत्मम्भरि+च
कर्मणीनिर्विक्रिय,कर्मणि+इनि+विक्रिय
उपेयिवाननाश्वाननूचानश्च,उपेयिवान+अनाश्वान+अनूचान+च
आक्वेस्तच्छीलतद्धर्मतत्साधुकारिषु,आ+क्वे+तच्छीलतद्धर्मतत्साधुकारिषु
देविक्रुशोश्चोपसर्गे,देविक्रुशो+च+पसर्गे
चलनशब्दार्थादकर्मकाद्युच,चलनशब्दार्थात+अकर्मकात+युच
परिन्योर्नीणोर्द्यूताभ्रेषयो,परिन्यो+नीणो+द्यूताभ्रेषयो
आक्रोशेऽवन्योर्ग्रह,आक्रोशे+अवन्यो+ग्रह
वोताप्यो,वा+आ+उताप्यो
कर्त्रोर्जीवपुरुषयोर्नशिवहो,कर्त्रो+जीवपुरुषयो+नशिवहो
ताभ्यामन्यत्रोणादय,ताभ्याम+अन्यत्र+उणादय
लिटस्तझयोरेशिरेच,लिट+तझयो+एशिरेच
सेर्ह्यपिच्च,से+हि+अपित+च
वैतोऽन्यत्र,वा+एत+अन्यत्र
डाबुभाभ्यामन्यतरस्याम्‌,डप+उभाभ्याम+अन्यतरस्याम
रात्रेश्चाजसौ,रात्रे+च+अजसौ
बहुव्रीहेश्चान्तोदात्तात्‌,बहुव्रीहे+च+अन्तोदात्तात
स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌,स्वाङ्गात+च+उपसर्जनात+असंयोगोपधात
